pid,label,desc,_date,rights,format,type,source,publisher,contributor,_tags,names,notes,order,layout,collection,thumbnail,full,manifest
cb001,Photograph of a Christmas Festival at the Audobon Ballroom,Four students stand on stage performing a festive show in the Audubon Ballroom.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,00,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb001/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb001/full/1140,/0/default.jpg",/img/derivatives/iiif/cb001/manifest.json
cb002,Photograph of ceremony at The Modern School,A student recieves a diploma from a teacher at The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,Ceremony,,,01,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb002/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb002/full/1140,/0/default.jpg",/img/derivatives/iiif/cb002/manifest.json
cb003,Photograph of children during the Christmas Festival,Two toddlers dressed in white are accompanied by a teacher on stage during a Christmas festival perfomance at The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,02,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb003/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb003/full/1140,/0/default.jpg",/img/derivatives/iiif/cb003/manifest.json
cb004,Photograph of class of young children performing on stage with teacher,A class of toddlers dressed in white perform at Christmas festival in The Modern School.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,03,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb004/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb004/full/1140,/0/default.jpg",/img/derivatives/iiif/cb004/manifest.json
cb005,Photograph of end of Christmas performance,All the children performers hold hands on stage to wrap up the Christmas festival.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,04,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb005/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb005/full/1140,/0/default.jpg",/img/derivatives/iiif/cb005/manifest.json
cb006,Photograph of numerous student performers during a Christmas show,Students performers captured mid-scene during a school show.,1964-1971,,,Photograph,,,Cami Bethea,"Audubon Ball, Festivites, The Arts",,,05,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb006/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb006/full/1140,/0/default.jpg",/img/derivatives/iiif/cb006/manifest.json
cb007,"Annual class photograph, grade 5","A co-educational 5th grade class of Black students with their teacher, Ms. Gloria B. Gwyn.",1970,,,Photograph,,,Cami Bethea,"Black Teacher, Class Photo, Co-Educational Classroom",,,06,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb007/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb007/full/1140,/0/default.jpg",/img/derivatives/iiif/cb007/manifest.json
cb008,Photograph of a graduation,A group of students sit on stage during a graduation ceremony.,1964-1971,,,Photograph,,,Cami Bethea,"Ceremony, School as Community, Success",,,07,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb008/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb008/full/1140,/0/default.jpg",/img/derivatives/iiif/cb008/manifest.json
cb009,Photograph of Dolares WIlliams and five students,A teacher sits on a park bench with five of her students who are holding dolls at a playground on 150th street.,1964-1971,,,Photograph,,,Cami Bethea,"Community, Black history, Harlem, Playground",,,08,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb009/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb009/full/1140,/0/default.jpg",/img/derivatives/iiif/cb009/manifest.json
cb010,Photograph of a girl at her desk in front of a mural,A student dressed in white sits at desk in front of the school's Manhattan mural.,1964-1971,,,Photograph,,,Cami Bethea,Black girlhood,,,09,tmsdoc_item,tmsphoto,"/img/derivatives/iiif/images/cb010/full/250,/0/default.jpg","/img/derivatives/iiif/images/cb010/full/1140,/0/default.jpg",/img/derivatives/iiif/cb010/manifest.json
