pid,label,creator,desc,_date,rights,format,type,source,publisher,contributor,_tags,names,notes
tmspro01,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph ,,,,"Project documentation, events, alumni",,
tmspro02,Photograph of Karen Taylor (l) and Dan Perlstein (r) at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro03,Photograph of Kristalynn Williams and fellow alumna at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro04,Photograph of Teachers College students Alton McCall and Amanda Deering at Modern School multigenerational reunion ,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro05,Photograph of Daryl Sherman (l) and Sheryl Harrison (r) in conversation at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro06,"Photograph of Bruce North (l), Juanita Coleman Merritt (c) and Victoria Horsford (r) on panel at Modern School multigenerational reunion","Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro07,Photograph of Sheryl Harrison (l) and Daryl Sherman (r) at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro08,Photograph of Ansley Erickson (standing) greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro09,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro10,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro11,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro12,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro13,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro14,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro15,Photograph of Tina Campt greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro16,Photograph of Tina Campt greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro17,Photograph of Cherilyn (Liv) Wright speaking at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro18,Photograph of Melanie Edwards speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro19,Photograph of Bruce North speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro20,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro21,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro22,Photograph of Deidre B. Flowers speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
tmspro23,Photograph of Deidre B. Flowers speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,Photograph,,,,"Project documentation, events, alumni",,
