pid,label,creator,desc,_date,rights,format,type,vimeoid,source,publisher,location,contributor,_tags,names,notes,narrator,order,layout,collection,thumbnail,full
tmstest82,Daryl Sherman Oral History Interview ,,"Daryl Sherman, formally known as Daryl Gibson while attending the Modern School, discusses being a student at the Modern School from 1955 to 1961 with great admiration for the school's sophisticated programs and initatives. ","April 21, 2017",No permission release on file,.mov,video,583622431?h=f6da566c7d&amp,,,"Teachers College, Columbia University ","Blanco, Yianella","Costumes, Festivals, Food, Trip to School, Camp Dunroven, The Arts, Multicultural learning, Langston Hughes, Books, Gratitude",,,,09,tmstest_item,tmstest,img/derivatives/simple/tmstest82/thumbnail.jpg,img/derivatives/simple/tmstest82/fullwidth.jpg
tmstest43,Harlem Stories: Oral History and Digital Tools,"Erickson, Ansley",Syllabus for A&HH 5051 class at Teachers College,Spring 2019,Use with attribution,,image,,,,"Teachers College, Columbia University ",,"Project documentation, Teachers College, oral history",,,,07,tmstest_item,tmstest,img/derivatives/simple/tmstest43_09/thumbnail.jpg,img/derivatives/simple/tmstest43_09/fullwidth.jpg
tmstest99,Video recording of multigenerational reunion and panel discussion,"Tyner, Mike",,"April 21, 2017",Under copyright,,video ,638760894?h=07bbe99a01,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,08,tmstest_item,tmstest,img/derivatives/simple/tmstest99/thumbnail.jpg,img/derivatives/simple/tmstest99/fullwidth.jpg
tmstest04,Photograph of Teachers College students Alton McCall and Amanda Deering at Modern School multigenerational reunion ,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,image,,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,03,tmstest_item,tmstest,img/derivatives/simple/tmstest04/thumbnail.jpg,img/derivatives/simple/tmstest04/fullwidth.jpg
tmstest05,Photograph of Daryl Sherman (l) and Sheryl Harrison (r) in conversation at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,image,,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,04,tmstest_item,tmstest,img/derivatives/simple/tmstest05/thumbnail.jpg,img/derivatives/simple/tmstest05/fullwidth.jpg
tmstest01,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,image,,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,00,tmstest_item,tmstest,img/derivatives/simple/tmstest01/thumbnail.jpg,img/derivatives/simple/tmstest01/fullwidth.jpg
tmstest02,Photograph of Karen Taylor (l) and Dan Perlstein (r) at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,image,,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,01,tmstest_item,tmstest,img/derivatives/simple/tmstest02/thumbnail.jpg,img/derivatives/simple/tmstest02/fullwidth.jpg
tmstest03,Photograph of Kristalynn Williams and fellow alumna at Modern School multigenerational reunion,"Ferrec, Margaret",,"April 21, 2017",Under copyright,,image,,,,"Teachers College, Columbia University ",,"Project documentation, events, alumni",,,,02,tmstest_item,tmstest,img/derivatives/simple/tmstest03/thumbnail.jpg,img/derivatives/simple/tmstest03/fullwidth.jpg
tmstest41,Oral history interview themes,,,Spring 2019,Use with attribution,,image,,,,,,"Project documentation, oral history",,,,05,tmstest_item,tmstest,img/derivatives/simple/tmstest41_2/thumbnail.jpg,img/derivatives/simple/tmstest41_2/fullwidth.jpg
tmstest91,Sheryl Sebastian Harrison Oral History Interview ,,,"April 21, 2017","Permission granted, release form on file",.mp4,video,623635948?h=8078ee9ab6&amp,,,"Teachers College, Columbia University ","Lester, Dominique","Bronx, Black teachers as role models, Love for learning , Museums, Dance , Doll Show , Self-confidence, Trip to school , School building, Malcolm X, Audubon Ballroom, Plays , Coronation , College preparation, Self-esteem , Gratitude ",,,,11,tmstest_item,tmstest,img/derivatives/simple/tmstest91/thumbnail.jpg,img/derivatives/simple/tmstest91/fullwidth.jpg
tmstest81,Cami Bethea Oral History Interview,,Cami Bethea discusses being a student at the modern school from 1964 to 1971 and how the experience shaped her life and education. ,"April 21, 2017","Permission granted, release form on file",.mp4,video,583892162?h=a35d1f9a15&amp,,,"Teachers College, Columbia University ","Heitkamp, Joshua ","Discipline, School as community, Respect, Gender, Small class sizes, Trip to school, Family, Language other than english, Multicultural learning, Private School, Exposure, Festivals, The arts, Gratitude, Perception of the school, ",,,,10,tmstest_item,tmstest,img/derivatives/simple/tmstest81/thumbnail.jpg,img/derivatives/simple/tmstest81/fullwidth.jpg
tmstest42,Learning to the be best of who you are,"Lamiell, Patricia",Teachers College website news article about the project,"June 27, 2017",Under copyright,,image,,Teachers College News,,,,"Project documentation, Teachers College",,,,06,tmstest_item,tmstest,img/derivatives/simple/tmstest42_4/thumbnail.jpg,img/derivatives/simple/tmstest42_4/fullwidth.jpg
